Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2/1/2011,23,30.8,26,80,2.5,0.3,6,180,4,N 
3/1/2011,22,30.8,26.8,80,0,0.1,5,360,2,N 
4/1/2011,22,30.6,26.4,83,0,0.9,5,180,3,N 
5/1/2011,23,30.4,27.5,79,0,0.2,8,360,4,N 
6/1/2011,23,31,26.3,82,5.6,0.2,10,360,3,NW
7/1/2011,23,31,24.3,92,12,0.4,10,360,4,N 
8/1/2011,22,30.4,26.8,82,0,0.8,6,360,4,N 
9/1/2011,22,31.2,26,86,8,0.4,5,360,3,N 
10/1/2011,23,30.4,26.4,83,0,0.6,6,270,4,N 
11/1/2011,23,31.4,25.2,86,0,0.5,5,360,3,N 
12/1/2011,23,30.2,26.4,84,30.8,0.2,5,360,3,N 
1/13/2011,22,27.6,24.6,94,51.5,0.1,8,270,3,NW
1/14/2011,23,31.2,26.5,78,2,0.6,7,270,3,N 
1/15/2011,22,28,25.2,91,26.1,0.2,39,360,6,N 
1/16/2011,23,29.4,25.7,89,0,0.2,4,360,3,N 
1/17/2011,22,30,23.9,93,28.5,0.2,8,360,4,N 
1/18/2011,23,30.4,25.6,80,0,0.2,4,360,2,N 
1/19/2011,23,31,27.5,80,0.4,0.9,8,180,4,N 
1/20/2011,23,32,27,80,0,0.2,4,225,3,N 
1/21/2011,22,30.6,26,92,0,0.4,5,360,3,SW
1/22/2011,23,29.4,25,91,9.6,0,5,180,4,N 
1/23/2011,23,31,25.3,86,0,0.6,6,180,3,N 
1/24/2011,23,31,26,84,0,0.5,6,360,2,N 
1/25/2011,21,30.4,25.9,82,20.2,0.7,6,360,4,N 
1/26/2011,22,29.4,24.5,91,3.3,0.5,6,135,3,N 
1/27/2011,23,29.8,25.3,84,5.5,0.3,8,360,3,N 
1/28/2011,23,30,26.4,76,0,0.2,4,180,3,N 
1/29/2011,23,28.4,23,93,15.3,0.1,8,360,3,N 
1/30/2011,24,29.8,25.6,88,2.5,0.3,8,360,4,N 
1/31/2011,23,29.6,25.6,88,4,0.4,6,0,4,N 
1/2/2011,23,31,27.4,76,0,0.3,5,360,3,N 
2/2/2011,23,30.6,26,85,41.6,0.2,6,360,3,N 
3/2/2011,23,29.2,25.2,88,0,0.2,4,180,2,N 
