Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
03-11-2010,22,29.2,24.8,92,52.2,0.1,6,180,3,N 
04-11-2010,24,30.8,26.8,81,0,0.6,5,180,3,W 
05-11-2010,23,29.4,24.6,92,0,0.2,5,180,3,N 
06-11-2010,23,31,26.6,84,0,0.6,5,360,2,N 
07-11-2010,23,30.4,25.9,88,18.6,0.4,8,180,3,N 
08-11-2010,24,31,27.3,83,0,0.7,6,180,3,SW
09-11-2010,23,30.4,26.7,85,0,0.2,4,225,2,N 
10-11-2010,23,30,25.9,86,0.5,0.2,34,180,5,N 
11-11-2010,24,30.8,26.5,82,18.4,0.4,6,180,3,S 
12-11-2010,23,29.2,26.1,87,40.8,0.2,6,180,3,W 
13-11-2010,23,30,26.8,89,4.2,0.5,5,360,3,S 
14-11-2010,24,30.6,26.4,90,0.8,0.3,4,180,3,N 
15-11-2010,23,30.6,24.5,94,0,0.2,8,180,3,SW
16-11-2010,23,29.6,24.7,95,13.6,0,5,180,2,S 
17-11-2010,23,29,24.9,92,0,0.2,4,180,2,N 
18-11-2010,22,30.4,26.5,86,21.8,0.3,5,360,3,N 
19-11-2010,23,31.6,26.3,84,0,0.6,7,360,3,N 
20-11-2010,24,29.8,26.7,85,8888,0.4,6,180,3,N 
21-11-2010,23,30.6,26.1,88,0,0.4,5,45,2,N 
22-11-2010,22,30.6,25.1,92,30,0.3,5,360,2,N 
23-11-2010,22,30.4,25,88,5.2,0.4,6,180,3,S 
24-11-2010,24,31.2,26.6,85,0,0.7,5,180,3,S 
25-11-2010,24,31.2,27,84,0,0.7,4,180,3,N 
26-11-2010,24,31,26.8,86,0,0.4,5,360,3,N 
27-11-2010,23,29.8,25.7,89,0,0.3,5,360,2,W 
28-11-2010,23,30.4,24.7,94,0,0.4,5,180,3,S 
29-11-2010,23,30.4,26.2,88,1.8,0.6,4,180,2,N 
30-11-2010,23,31.2,26.9,83,1.5,0.5,4,360,3,N 
01-12-2010,23,30.8,26.3,87,1.6,0.5,5,360,3,
02-12-2010,24,31.8,27.5,80,0,0.6,6,360,4,N 
03-12-2010,23,31.2,27.1,85,3.8,0.4,5,360,2,N 
04-12-2010,23,31,27.1,82,40,0.6,4,180,3,N 
05-12-2010,23,28.6,26,91,10.8,0.2,5,0,2,N 
06-12-2010,23,30.4,27.3,82,10,0.3,5,0,3,N 
07-12-2010,23,30,24.6,92,23.6,0.2,6,0,3,N 
08-12-2010,23,29.6,25.1,94,7,0.1,5,0,3,N 
09-12-2010,23,31,24.8,84,2.5,0.7,6,0,4,N 
10-12-2010,23,31,26.7,85,0.1,0.5,6,0,4,N 
11-12-2010,23,30.2,25.7,89,3,0.3,6,0,3,N 
12-12-2010,23,30.4,26.2,78,20.5,0.6,4,0,2,N 
13-12-2010,23,29.8,24.8,78,0,0,5,0,2,N 
14-12-2010,23,31.6,27.1,80,1.4,0.2,5,0,3,N 
15-12-2010,23,28,25.2,86,1.5,0,8,0,2,N 
16-12-2010,23,29.6,26.4,85,0.5,0.2,5,360,3,N 
17-12-2010,22,30.4,26.8,82,0,0.7,6,360,3,N 
18-12-2010,22,30.4,25.6,87,0.2,0.7,4,180,3,N 
19-12-2010,21,30.4,25.8,87,61.5,0,8,360,3,N 
20-12-2010,23,30.8,26.3,80,15.2,0.6,5,180,4,N 
21-12-2010,23,30.4,26.4,86,6.4,0.5,7,360,4,N 
22-12-2010,24,30.8,26.5,85,0.1,0.3,5,360,3,N 
23-12-2010,22,31,27.6,81,8.9,0,9,360,5,N 
24-12-2010,22,30,24.5,91,51,0.1,7,360,3,N 
25-12-2010,22,30.8,25.3,,4.3,0.1,4,360,2,N 
26-12-2010,23,27,24.3,92,27.6,0,5,360,3,N 
27-12-2010,23,29.6,25.9,84,0,0.1,5,360,3,N 
28-12-2010,23,31.2,26.9,86,3,0.6,7,360,3,S 
29-12-2010,23,29,25.1,94,4.3,0.1,8,360,4,N 
30-12-2010,23,30.8,26.1,85,15.4,0.2,5,360,3,N 
31-12-2010,22,29.2,24.7,91,48.3,0,5,0,3,N 
01-01-2011,22,28.6,23.3,96,18.8,0.3,5,360,4,N 
02-01-2011,23,30.8,26,80,2.5,0.3,6,180,4,N 
03-01-2011,22,30.8,26.8,80,0,0.1,5,360,2,N 
04-01-2011,22,30.6,26.4,83,0,0.9,5,180,3,N 
05-01-2011,23,30.4,27.5,79,0,0.2,8,360,4,N 
06-01-2011,23,31,26.3,82,5.6,0.2,10,360,3,NW
07-01-2011,23,31,24.3,92,12,0.4,10,360,4,N 
08-01-2011,22,30.4,26.8,82,0,0.8,6,360,4,N 
09-01-2011,22,31.2,26,86,8,0.4,5,360,3,N 
10-01-2011,23,30.4,26.4,83,0,0.6,6,270,4,N 
11-01-2011,23,31.4,25.2,86,0,0.5,5,360,3,N 
12-01-2011,23,30.2,26.4,84,30.8,0.2,5,360,3,N 
13-01-2011,22,27.6,24.6,94,51.5,0.1,8,270,3,NW
14-01-2011,23,31.2,26.5,78,2,0.6,7,270,3,N 
15-01-2011,22,28,25.2,91,26.1,0.2,39,360,6,N 
16-01-2011,23,29.4,25.7,89,0,0.2,4,360,3,N 
17-01-2011,22,30,23.9,93,28.5,0.2,8,360,4,N 
18-01-2011,23,30.4,25.6,80,0,0.2,4,360,2,N 
19-01-2011,23,31,27.5,80,0.4,0.9,8,180,4,N 
20-01-2011,23,32,27,80,0,0.2,4,225,3,N 
21-01-2011,22,30.6,26,92,0,0.4,5,360,3,SW
22-01-2011,23,29.4,25,91,9.6,0,5,180,4,N 
23-01-2011,23,31,25.3,86,0,0.6,6,180,3,N 
24-01-2011,23,31,26,84,0,0.5,6,360,2,N 
25-01-2011,21,30.4,25.9,82,20.2,0.7,6,360,4,N 
26-01-2011,22,29.4,24.5,91,3.3,0.5,6,135,3,N 
27-01-2011,23,29.8,25.3,84,5.5,0.3,8,360,3,N 
28-01-2011,23,30,26.4,76,0,0.2,4,180,3,N 
29-01-2011,23,28.4,23,93,15.3,0.1,8,360,3,N 
30-01-2011,24,29.8,25.6,88,2.5,0.3,8,360,4,N 
31-01-2011,23,29.6,25.6,88,4,0.4,6,0,4,N 
01-02-2011,23,31,27.4,76,0,0.3,5,360,3,N 
02-02-2011,23,30.6,26,85,41.6,0.2,6,360,3,N 
03-02-2011,23,29.2,25.2,88,0,0.2,4,180,2,N 
04-02-2011,23,30.2,26,88,3,0.1,4,360,3,N 
05-02-2011,23,30,26.1,82,0,0.4,4,180,3,N 
06-02-2011,23,30.8,25.9,87,37.4,0.5,6,360,4,N 
07-02-2011,22,30,25.5,90,70.7,0.2,8,180,4,N 
08-02-2011,22,30,25.6,88,0,0.4,5,360,3,N 
09-02-2011,25,30.6,26.2,82,1,0.5,8,360,4,N 
10-02-2011,22,31.4,26.5,80,2.3,0.6,8,360,3,S 
11-02-2011,22,31.4,26.6,78,2.3,0.6,5,180,2,N 
12-02-2011,24,30,26.1,78,2,0.4,5,180,3,S 
13-02-2011,23,29.4,25.7,88,12,0.3,5,360,2,N 
14-02-2011,22,30,24.8,90,1.5,0.5,5,360,3,N 
15-02-2011,23,30.2,25.6,88,0,0.6,5,180,2,W 
16-02-2011,22,30.6,26.3,87,9.4,0.5,5,360,3,N 
17-02-2011,23,30.2,25.7,87,0.5,0.5,5,180,3,S 
18-02-2011,23,30.8,26.3,84,13.8,0.6,5,360,3,N 
19-02-2011,24,30,24.9,82,0,0.6,6,180,2,N 
20-02-2011,21,30.4,25.1,85,58.5,0.3,5,360,4,N 
21-02-2011,24,30,25.7,78,2,0.3,13,360,3,N 
22-02-2011,22,31,24.6,91,41.3,0.6,10,180,4,N 
23-02-2011,22,26.8,23.6,95,34.3,0,8,360,3,N 
24-02-2011,23,30.4,26,84,0,0.5,5,360,3,N 
25-02-2011,22,30.2,25.1,90,18,0.2,8,360,5,N 
26-02-2011,22,30.4,27,76,0,0.4,5,360,3,N 
27-02-2011,22,32.8,26.5,84,0,0.8,5,360,3,N 
28-02-2011,23,31,25.1,85,4.2,0.6,6,360,3,N 
01-03-2011,23,31,26,91,0,0.4,5,180,2,N 
02-03-2011,23,30.8,25.6,89,0,0.3,4,360,3,N 
03-03-2011,24,23,23.9,96,0,0,8,180,2,N 
04-03-2011,23,29.2,26,84,0,0,5,180,3,S 
05-03-2011,23,30,26.1,86,0,0.4,4,360,3,N 
06-03-2011,24,30.6,26.3,84,0,0.6,4,180,3,N 
07-03-2011,22,28,24.7,88,0,0,5,360,2,S 
08-03-2011,22,30.4,25.5,86,0,0.5,5,360,2,N 
09-03-2011,22,30.8,26.6,81,2.7,0.7,4,360,3,N 
10-03-2011,23,30.6,25.5,87,23,0.5,5,360,3,N 
11-03-2011,23,30.2,25.4,90,6.8,0.4,4,360,3,S 
12-03-2011,22,29.4,25.7,86,5,0.2,5,180,2,S 
13-03-2011,23,29.6,25.9,83,0,0.2,3,180,3,N 
14-03-2011,24,30.8,25.1,83,0,0.2,4,180,2,N 
15-03-2011,22,30.2,25.2,93,6.3,0.2,5,360,4,N 
16-03-2011,23,30.2,24.5,90,0,0.6,5,180,3,S 
17-03-2011,24,29.8,25.3,88,4.6,0.2,5,360,2,N 
18-03-2011,23,29.8,25.8,86,1.2,0.2,6,180,2,N 
19-03-2011,23,36,26.5,84,4.6,0.3,4,180,3,S 
20-03-2011,23,35,25.1,92,0,0.1,5,180,3,N 
21-03-2011,24,30,25.5,89,12.5,0.2,5,360,2,N 
22-03-2011,23,29.6,25.3,90,0,0.1,5,360,3,N 
23-03-2011,24,30.2,25.5,86,2.4,0.3,6,180,2,N 
24-03-2011,23,30,25.6,90,17,0.3,4,180,2,N 
25-03-2011,22,29.2,25.2,90,75,0.2,8,180,3,N 
26-03-2011,23,30,25.7,86,0,0.3,4,360,2,N 
27-03-2011,23,31.8,24.2,94,17.3,0,10,360,3,N 
